Years & Months,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,,,,,,
1998-04,0,19.8,0.2,0,3.6,0.1,26.8,0,0,0,0,0,0.2,5.2,1.9,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,,,,,,,
1998-05,0,0.1,0,0,0,0,0,0,0,25.8,95.7,2.1,93.4,74.7,0.1,6.8,21.3,0,0,0,0,0,0,0.1,3.8,4.4,69.8,3.6,100.6,11.3,27.4,,,,,,
1998-06,6.2,5.5,4.2,23.6,10.7,0.6,4.2,0.4,0,0,2.2,0,1.5,8,4.6,8.4,1.2,0,0.8,0.4,12.5,2,9.2,13.3,15.2,35.7,60.5,1.3,0,2.4,,,,,,,
1998-07,5.2,5.7,0.1,0,0,0,0.5,0.1,1.6,0,0,0.4,50.4,0,0.1,0.4,11.2,12,7.3,1.1,0.9,11.2,33.2,21.7,13.4,3.2,15.8,0.6,0,0,1.3,,,,,,
1998-08,0.7,1.7,25.6,0,0,0,0.2,1.2,0,0.1,0,16.8,0,0,0,0,0.4,0.1,4,3.5,3.5,37.9,20.7,2.8,0,0,0,0,0,0,0,,,,,,
1998-09,0,0.2,0.3,42.4,11.1,1.5,19.9,22.4,0.1,0,0.8,1.2,0.4,0,0.4,7.1,20.5,14.8,17.1,1.2,7.8,2.6,0.3,3.2,0,0,11,0,3.2,2.1,,,,,,,
1998-10,0,0,0,3.2,0,0,2.4,3.2,13,24.3,10.8,2.2,11.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.8,45.3,0,,,,,,
1998-11,0,6.6,0,0,0.1,0,0,0.1,42.6,0,0,19.4,0.2,0,2.4,12.4,2.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1998-12,0,0.1,33.5,0,0,1.2,21.7,12.9,7.4,12.8,22.7,42.1,83.3,16.2,17.7,0.1,14.9,0,0,0,0.1,0.6,0,0,0,0,0,14.2,59.1,2.9,4.8,,,,,,
1999-01,24,3.2,0,0,0,0,0.3,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1999-02,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,6.4,2.6,2.8,13.5,12.4,0,0,0,0,1.2,,,,,,,,,
1999-03,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1999-04,0,0,0,0,0,0,2.6,1.6,0,0,0,1.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1999-05,1.6,0,0,0,0,8.9,0.3,0,0.1,3.4,24,16.1,17,22.8,11.7,20.6,3.8,0,0,30.3,2,0.9,0,22.2,38.9,15.8,5.4,27.8,41.9,5.5,0,,,,,,
1999-06,0,0,0,6.8,11.1,1.8,21,9.3,9.4,2.4,16.9,21.8,7,12.4,4.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,,,,,,,
1999-07,0,3.2,40.2,65.2,39.7,31.1,65.5,4,0.1,2.1,0,0,0,0,0,2.2,4.3,39.4,0.7,1.6,5.8,0,0.1,0,47.9,3.3,0,0.9,0.5,6.4,0.4,,,,,,
